comments,Toxicity,Obscence,Threat,Identity attack - Insult,Sexual explicit,Sedition – Politics,Spam
"Bí Mật Showbiz ta noi minh đang lót dép hóng đợi mung 8 canh coi nhẫn 500 đẹp cỡ nào . Đoc dc comment này của ad , minh xin đứng len mang dép di về ko hóng nữa :)) .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linh Linh me toooooo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
""" Người ủng hộ Trump xông vào Quốc hội "" hay bọn phá hoại cố tình trà trộn vào làm loạn để làm mất uy tín của Trump ?",0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cherry Tưởng ê tui ghét nó từ thời nó chưa nổi luôn á,0.0,0.0,0.0,0.0,0.0,0.0,0.0
càng ngày càng xàm lol . nói không nhất thiết phải đúng nói cc à,1.0,1.0,0.0,0.0,0.0,0.0,0.0
“ Quan điểm ” nhưng không nhất thiết phải đúng :))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thì nó không hát được , nó dí mic cho mà hát hộ chứ sao , lịch sự mà",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kiêu Ngạo , Ảo Tưởng + thêm lũ fercon mù quáng khiến càng anti nặng",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Làm cái mv nhạc 14 ' mà hát dc có mấy câu rồi làm drama xàm lon câu view mà vẫn được giải , wow",0.0,0.0,0.0,1.0,0.0,0.0,0.0
xin hỏi thí chủ có thù chì với tháng 11 mà rớt mất tờ đấy rùi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tui mà được đẹp vậy , được vô showbiz như vậy , có cho tiền tui cũng không giám mặc đồ nháy , nhục lắm luôn .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngọc Bảo Phạm k đọc kỹ chắc tưởng là kem thật,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nó giả vờ dell biết đấy . M ngu hơn chó =))))),1.0,1.0,0.0,1.0,0.0,0.0,0.0
Tởm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Biểu tình như thế này là loạn thật rồi , bắt trước bên tư bản giãy chết thế này . Loạn rồi",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ngọc Mỹ tại vì tụi nó lập nhóm cả hàng ngàn người chửi rủa chị tiên thậm tệ , tấn công nhãn hàng chị tiên làm đại diện nên chị tiên mới nói . Mình vô đọc bình luận của tụi nó mà rùng mình luôn , có đứa chửi rủa kinh khủng lắm , mình không ngờ tụi nó ác khẩu đến mức đó luôn . mình thấy thương những người nghèo ở quảng trị thực sự luôn . Họ nghèo thì làm gì lên fb được mà kêu oan hay thanh minh đâu . Họ có trách chị tiên đâu , ai Nhận được tiền rồi cũng cảm ơn chị tiên , đang lúc khó khăn số tiền đó rất quý . Có chăn là Chính những kẻ lên mạng ra rả đòi lại công bằng rồi kêu không cần sự giúp đỡ của chị tiên thì họ lại là những kẻ có điều kiện , ích kỷ với chính đồng hương của mình . Tụi nó có bao giờ đem 3 trieu cho 1 người , 6 trieu cho 2 người dân quảng trị không ? Toàn là tụi nó nói không cần chứ người dân nghèo thật sự họ đâu có nói . Tụi nó chửi rủa chị tiên thậm tệ thì quả báo sẽ đến với tụi nó , đời nay quả báo đến nhanh lắm , không cần đợi kiếp sau đâu",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hy vọng Arsenal méo đủ tiền để duy trì đội bóng và bị phá sản . Chứ đây đéo phải là Arsenal mà tôi hâm mộ,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Chị Hà ơiii em mới bị bên zing đòi kiện , coi chừng tới chị nhaaaa",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dao Ngoc Thanh bẹn nè Hến Khổng Lồ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Búa cần thông tin mấy em này ko mình gửi cho :))) . Toàn bộ các e đều có 1 ekip chăm lo đưa đón sẵn sàng đợi ngày đăng quang thôi :)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lingard chấn thương chưa đã hả các bác . Sao dạo này ko thấy ra sân nhỉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đụ ad sẽ thành fan cứng,1.0,1.0,0.0,0.0,1.0,0.0,0.0
"Lê Đình Đạt tiếng Anh thì quá dễ , tiếng tầu chỉ có những người thông minh mới học được",1.0,0.0,0.0,0.0,0.0,0.0,0.0
Đừng lôi Y hay TT. Ai cũg đều là nghệ sĩ và đang bị tư duy hùa hùa nhau soi mói . Bạn nói thế thì khác gì kiếm thêm anti cho c TT đâu .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nguyen Minh Tuan < URL > Chuyên Crocs xuất khẩu Hà Nội . 👟 🥾 👞 Chuẩn bị vào hè Thêm mẫu dép Crocs mới cho nam , anh em tha hồ lựa chọn mẫu mã , màu sắc , ib để được TƯ vấn size phù hợp nhất . . 🆘 Hotline : 0975031XXX - 0989098XXX",0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nguyễn Tôn Huyền Trân,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mail có sẵn đấy , sợ fake thì cứ test thử , thể hiện quan điểm ngu ăn lol à",1.0,1.0,0.0,1.0,0.0,0.0,0.0
Chửi thì chửi đúng người đúng chuyện . Lấy chuyện sinh ra từ ống nghiệm vô nói làm gì ? Riêng chuyện cách ra đời thì nó không có lỗi . Ra vẻ ta đây để đc lên top một cách hãm l à ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hồi minh tính lm nhưng coi rewiew trên mang thấy k tốt nên k lm nũa vs btt trên tiktok phá tiệm ngta k tốt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
csxhcn là bọn trộm cắp,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Thất bát vĩnh cửu một đời làm ko có gì .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đm ! Kèo làm con cặc gì . Cỡ 4 tr có cái lồn mà ultral đm . Đã ngu lại thích nguy hiểm đm . . Cứ vào game chơi combat là biết ngay . Đm cứ vào game xong núp thì đm đến 98 % đéo drop nữa là . . Chơi game là phải combat còn mà đéo chơi đc thì óc bò rồi đm ngu,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Da bạn giống da mình hồi ms thôi rượu thuốc . Mà giờ da mình khoẻ hơn tý rồi . Mình chỉ dùng srm cetaphil , kem dưỡng phục hồi Avène , kem chống nắng VICHY. KẾT hợp rửa rửa mặt bằng NC muối sinh lí . Cũng phải mất 4,5 tháng",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoàng Hà bên em làm ạ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yêu là 1 chuyện cưới lại là chuyện khác :)) cưới mà ko có kinh tế thì tình cảm cũng rạn nứt thôi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quảng cáo trong nhóm ăn vặt nữa mới ckat,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôi muốn chuyển sang chế độ lái comfort,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 : 50 Bầu mất ngủ lý đó vì ban ngày ngủ đua với a Ck quá nhiều 🤣 🤣 🤣 . P / s : Nằm trong phòng nghe tiếng gió ngoài trời nghĩ thấy thương a Ck đang phải trực ca đêm ☺ ☺ ☺ Nguyễn Hà is feeling thương with Tuấn Nguyễn .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Misu Trang Thoi shared a post to the group : BẤT ĐỘNG SẢN - THUÊ NHÀ HÀ NỘI . < URL > Dự Án APEC . Dự án hot nhất tỉnh Phú Yên đang dần về đích , . Toà tháp đôi đã được khởi công và sẽ hình thành trong 2020 . 🌟 Chỉ còn vài cơ hội cuối cùng để đầu tư . 🌟 Giá vô cùng hấp dẫn chỉ cần cọc 30 tr . 🌟 Sau đó chia nhỏ thành 20 đợt thanh toán không lãi suất . 🌟 Bàn giao nhà có nội thất cao cấp tiêu chuẩn 5 ⭐ ( liền tường liền nền ) . 🌟 Shop center chỉ còn 20 Shop . Liên hệ ngay để giữ được căn hộ 5 ⭐ cao cấp nhất tỉnh Phú Yên . Hotline : 0905 78XXX",0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vl concu,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Người của đảng dân chủ cài cắm vô quậy phá,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jung Ngọc nhạt vl :),1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phải chi trc khi bỏ phiếu Mỹ có 1 phiên họp trù bị thì đâu có như hôm nay,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cao tốc mà 2 xe ngược chiều có thể lao vào nhau ko có giải phân cách cứng thì hên xui vãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gấp đôi lên . Cờ bạc người dừng là người thua,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cc , đm bố m hay mơ nyc vl",1.0,1.0,0.0,0.0,0.0,0.0,0.0
T comt cho nó hiện lên để n . y m đọc được :)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nước Mỹ như ngày hôm nay là lỗi do người lãnh đạo . Đáng buồn !,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Anti bền vững là đây chứ đâu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"cái giải như vã vào mặt "" nữ "" ca sĩ được yêu thích nhất",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hài lòng dễ sợ , mới vô xem , xoá poster hết rồi .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bốngg dzị mà t hỏng biết ó . Tưởng còn thân,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Viên Chính Quyền < URL > Phụ nữ tự kiếm tiền : Dám mua thứ mình thích , dám bỏ kẻ làm khổ mình - Phụ Nữ Thông Thái . Phụ nữ hiện đại có thể có tình yêu hoặc không nhưng tiền nhất định phải có . Phụ nữ đừng nghĩ chỉ cần tìm được người đàn ông yêu mình thật nhiều và có quyền dựa dẫm vào anh ta rồi đến một ngày bạn sẽ phải đau lòng . Kh ....",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sao ? PL lai co su nhap nhem hay sao ma moi nguoi lai nhan thuc khác nhau ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bọn m khôn hồn có ngon thì ra sân mà đá đcm kh bằng 1 c móng chân của ngta mà bày đặt chỉ trích,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Huy cái này là rush B chứ bên đấy có nhanh thì cũng ko đến mức cầu hôn xong cưới luôn đâu bác @ @,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Huỳnh Đạt a không hề nha , chỉ cò bi đuôi bỏ nhà đi , ăn cắp cái đầu đĩa đem bán , viết thư xin lổi ông già nó ak kkk",1.0,0.0,0.0,1.0,0.0,0.0,0.0
nói thật bây giờ cứ phải có tiền mới làm phiền được mấy ông cán bộ công việc nó mới nhanh.lương cán bộ chắc chỉ đủ ăn,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Cho nó cái địa chỉ luôn và ngay , nhắn nhủ nó luôn là nhà đang thiếu axit , ghét nhất cái bọn đe dọa người khác này",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ib e anh ơi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS là lũ tham quan,1.0,0.0,0.0,1.0,0.0,1.0,0.0
"Lang Thang khả năng là đảng Dân chủ cài cắm để VN lên tiếng phản đối , còn lâu nhá , VN vỗ tay",0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hà Tú Nhi Tuấn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
❤ ❤ Trương Thị Yến Nhi is with Cherry Vy .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôn Nữ Kim Khánh làm từ thiện xưa h hàng tỷ đồng mà * ko tới nỗi * ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tuyển thành viên chịu show chéo và xem link free vào nhóm , yêu cầu dâm chịu show 👌 https://zalo.me/g/anhqst319",1.0,0.0,0.0,0.0,1.0,0.0,1.0
Vũ Thái Bình cùng phe hỉ .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đm tính tui kệ tui,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ib để biết thêm chi tiết,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bùi Bích Phương có ai nợ bạn ko nhỉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BBC nên tìm phỏng vấn những bạn 2 tháng trước nói BBC là thổ tả , không có quyền phong ai làm tổng thống đắc cử xem các bạn nghĩ gì khi báo chí thổ tả đăng tin chính xác 2 tháng trước khi có công nhận chính thức của lưỡng viện đi",0.0,0.0,0.0,1.0,0.0,1.0,0.0
nối máy giúp tôi nói chuyện cùng thang cho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doi hinh ge vl,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hiếu Trần shared an event . < URL > Tham Quan Dự Án Long Thành Central . Lễ ra mắt dự án Long thành Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nma Tú làm tóc đẹp hog mng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tự sướng mà tao thấy sướng đéo đâu . Ad bị ngu à,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Chắc tin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thật ra là MU muốn giữ sức để chinh chiến đấu trường PL thôi . Chứ quyết tâm mà đá đôi công với MC thì Mu vẫn thua nhé :)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luận phát là trò đùa ở VN,1.0,0.0,0.0,0.0,0.0,1.0,0.0
anh cần nhắn tin cho thằng hấp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ninh Nguyễn Đăng,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tho Pham Tuan . ko biết cảnh sát có cho tên này ăn cám chưa nhỉ ?,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hmm em nghĩ là do sợ trả lời công khai : > mà rõ lắm chuyện đăng bài xin lỗi rồi gỡ vid có phải hay hơn không : <,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ngọc Đoan đúng ý mình , suốt ngày sân si , bới móc làm gì ra tiền mà mua",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phạm Sen nó có 1 cái gì đo mà làm mình rất vui , hạnh phúc phải k ông ?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vô học , đề nghị cấm đối vàng mã nơi công cộng , vui chơi , giải trí .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Khuyên chân thành vì mình cũng từng bị ntn , b nên tim hieu sd re hoặc tre của obagi , và nên khám da liễu",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xem trailer thôi đã thấy ưng rồi =)) t chờ ra hêta rồi coi luôn một thể ~,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thúy Di khi yêu thôi . nửa đêm ổng còn chạy 60 km để đón m . guờ lấy đc 3 năm r về ngoại cũng k thèm về,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanh Tuyền thôi bỏ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Võ Vỹ Khang hóng clip bro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ICU vào thì dễ mà ra thì khó , mà nếu có ra cũng suy giảm sức khoẻ lắm rồi : ( (",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dân VN nói chung ko dám nghĩ đến chuyện phản đối ở mức cao như nhà nước đâu . Quay ra è grab thôi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cute quá tr luôn : ( (,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xuan Anh Tran Ko sao nếu va chạm nhẹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cứ đến ngày này hàng năm lại lôi chuyện này lên . Ko biết sau này có dám về nước ko nữa,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Phá Hiệu trưởng chép của Thủ tướng ... Vậy còn cái "" Đề án 30 ... "" thì Cờ Lờ Mờ Vờ thì chép của ai hoặc thuê ai viết ? ? ?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chồng nó lại đóng cho nhấc người lên :)),1.0,0.0,0.0,1.0,1.0,0.0,0.0
Tấu hài vl :)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thành Lộc =)))))))))))))))))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Môi hở răng lạnh tê tái,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Câu này đc cái đĩ mập và phì phò :)))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"thằng này mà dám đạp =)) nhìn nó như con nhái vậy , láu táu lại sml chứ đùa , catana thì máu chó rồi",1.0,1.0,0.0,0.0,0.0,0.0,0.0
Quỳnh Quắn tao tag mày vô để mày tóm tắt cho tao mà :))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cỡ này mới có tiền cho con học trường quốc tế nha m Phương Lê,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Thị Như Quỳnh chị để nó cho em =))) ng ae của tôi =)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Park Ji Huyn Cay vl , địt",1.0,1.0,0.0,0.0,0.0,0.0,0.0
Đang quẫn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xe to nhỉ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"2 bố mẹ , đẻ 7 ng con ( trong đó đứa con gái là út ) = 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0
toàn mua hàng thải nhưng phân dôn cứ đi thủ d * m với nhau các kiểu :)) Max Hài,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cũng buồn nhưng mà cũng vui vì đó là cơ hội để cho các chính khách của CQ lập pháp phải động não và có hành động đúng đắn . Ổn định xong sẽ tiến lên thôi .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nguyễn Văn Dũng haha,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Có thì bớt lại nhan m Ngô Hữu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phải t cho cả con nyc vs thằng ny kia trận ý hãm vch , chia tay nhanh bạn ơi . Cho cno 1 ruộc về với nhau",0.0,1.0,0.0,0.0,0.0,0.0,0.0
APP.ADJUST.COMNK KartRider M VN ( USD ) NK KartRider M VN ( USD ),0.0,0.0,0.0,0.0,0.0,0.0,1.0
Thành Quang chuẩn mực hv đắt nhất thế giới :)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chắc đấm chetme th nhóc Trần Nhật này quá,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Drama hài vcl =))) thua đến thế rồi nhưng vẫn cứ là cãi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cảm ơn ekip đã giúp cj dựng cái clip che full HD cảm ơn các bạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Là without you mà ko phải with you ư ? ! Hoá ra bao năm nay tôi đã lầm tưởng về bộ phim thanh xuân vườn trường tâm đắc nhất của mình .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 bức ảnh nhà bác được chỉnh màu rất đẹp cùng với lời dẫn “ đây là nhà bác trưởng thôn ” Nghĩ sao ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Đéo lm được thì cút , lúc nhận tiền có nói nhận thức ko ?",1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Hôm tôi 100 cái 100 s , tôi sẽ suy xét lại vấn đề này .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
bố cho m xanh cỏ,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Trò này cũ lắm r mà vẫn bị lừa à :))))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ý là được stylist phối cho vẫn fail , tại phèn nó từ trong cốt cách rồi , outfit đó đưa Decao mặc nó lại khác hẳn",0.0,0.0,0.0,1.0,0.0,0.0,0.0
Phát tý nhạc nghe cho thư giản đầu óc nào,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thì 3 thằng bây ngu như con chó,1.0,1.0,0.0,1.0,0.0,0.0,0.0
lúc đó m thấy t đang vừa gặm xương vừa nhậu á,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ai cần link ib,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Comment hay wa , nãy giờ like dạo mỏi tay lun",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nọc con dò để biện minh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giơt mình trả lại áo cho nó nhưng nó cũng k trả lại tiền cho mình . thôi coi như bố thí cho nó cả tiền mấy triu với áo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chết cười với anh chị em con nhang đệ tử , hãy phản biện bằng lập luận , đừng phản biện bằng bản năng .",0.0,0.0,0.0,0.0,0.0,0.0,0.0
kệ m kể ra chi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ánh Tuyết kp ty sắp tới kk,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trung Quang Chat xx anh iu 50 k đảm bảo uy tín , ra hàng . Các anh em cần giải quyết ib cho e",1.0,0.0,0.0,0.0,1.0,0.0,1.0
lại sủa qua tới đây rồi ak,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Nứng c chứ ko phải lol nha,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Hoàng Anh ...,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lại khổ a Quyền Linh .,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngày xưa là t lốc m lên hay t thổi m đi đến mức m diasablehelp ý nhỉ :))),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lướt cho nước nó trong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cừ té đái,0.0,0.0,0.0,0.0,0.0,0.0,0.0
đcsvn toàn thằng tham tiền,1.0,0.0,0.0,1.0,0.0,1.0,0.0
how about like us đổi thành chứng rồi ôm,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ò khổ thân không thông minh cũng là 1 tổn thất lớn đấy :)),0.0,0.0,0.0,0.0,0.0,0.0,0.0
""" Phản ứng trước việc bị Twitter đóng tài khoản cá nhân , Tổng thống Trump tuyên bố sẽ "" tự xây một nền tảng riêng trong tương lai gần "" . Twitter lại nhanh chóng xóa phát biểu này . "" ủa vậy sao báo chí biết là có phát biểu đó ? Tới 1 tấm ảnh cũng không đưa ra được ( mặc dù có ảnh cũng chưa chắc là thật )",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chị là ctv son phải ko,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"chị Tiên ăn thua đủ gì bạn ? Chị ấy xúc phạm , chửi bới gì bác ấy ? Hay là các bạn tự đâm tự chọt chửi bới bác trưởng thôn , rồi sau đó quay qua chửi ngược lại chị Tiên để thấy mình không có lỗi ?",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Binh Nguyen Son nó nắm đầu đc cả hệ thống chính trị , toà án thì nhẽ nó ko mua đc quân vs vbqg",0.0,0.0,0.0,0.0,0.0,0.0,0.0
